time,open,high,low,close
1420209000,31.97511934,32.02360656,31.78117045,31.78117045
1420212600,31.78337442,31.78337442,31.49906297,31.58281363
1420216200,31.58722156,31.63570878,31.52991848,31.55195813
1420219800,31.55195813,31.57179381,31.39988457,31.40208853
1420223400,31.40208853,31.52991848,31.3668251,31.49906297
1420227000,31.49465505,31.5475502,31.45939161,31.52991848
1420230600,31.53873434,31.64452464,31.53212244,31.58281363
1420468200,31.43294403,31.43735196,31.16406035,31.2169555
1420471800,31.20813964,31.2103436,31.07149383,31.08471762
1420475400,31.08471762,31.1420207,31.00537489,31.00537489
1420479000,31.00096696,31.04504625,30.9172163,30.93925595
1420482600,30.94366388,31.04504625,30.93925595,30.94807181
1420486200,30.94807181,30.9921511,30.90399252,30.9612956
1420489800,30.97011146,31.04945418,30.95247974,30.97451938
1420554600,31.01419075,31.07590176,30.90399252,31.04063832
1420558200,31.0362304,31.0362304,30.70122777,30.7056357
1420561800,30.70122777,30.70122777,30.47201544,30.54254231
1420565400,30.53813438,30.65274054,30.45658769,30.52931852
1420569000,30.52491059,30.68359605,30.51609473,30.68359605
1420572600,30.69241191,30.90840045,30.66596433,30.8863608
1420576200,30.89076873,30.89076873,30.66596433,30.67478019
1420641000,30.94366388,31.08030969,30.86432115,30.98333524
1420644600,30.98333524,31.04063832,30.89076873,30.9172163
1420648200,30.9172163,31.16406035,30.91280837,31.15083656
1420651800,31.15083656,31.15965242,31.0362304,31.05386211
1420655400,31.04945418,31.16406035,31.04945418,31.08912555
1420659000,31.07590176,31.12879691,31.01419075,31.08030969
1420662600,31.08912555,31.15083656,31.06047401,31.1420207
1420727400,31.38886474,31.5784057,31.38225285,31.54314227
1420731000,31.54534623,31.6533405,31.5409383,31.58942553
1420734600,31.58942553,31.60926121,31.52771452,31.55416209
1420738200,31.54975416,31.64232068,31.54975416,31.63130085
1420741800,31.62909689,31.64011671,31.55636606,31.60485328
1420745400,31.60264931,31.62909689,31.59383346,31.622485
1420749000,31.6158731,31.6158731,31.57399777,31.60926121
1420813800,31.59162949,31.59162949,31.38886474,31.3976806
1420817400,31.40208853,31.40208853,31.21254757,31.247811
1420821000,31.25662686,31.42853611,31.22577136,31.33156166
1420824600,31.35800924,31.38445681,31.26985065,31.3227458
1420828200,31.32715373,31.34919338,31.26985065,31.27425858
1420831800,31.27866651,31.38445681,31.2544229,31.30511408
1420835400,31.31392994,31.33376563,31.24119911,31.25221893
1421073000,31.25221893,31.34919338,30.95247974,31.00537489
1421076600,30.99655903,31.1728762,30.99655903,31.11557312
1421080200,31.12438898,31.15524449,31.05827004,31.12879691
1421083800,31.12438898,31.15524449,31.04945418,31.05386211
1421087400,31.06267797,31.16846828,31.06267797,31.08251365
1421091000,31.08692158,31.12879691,31.04945418,31.07590176
1421094600,31.07590176,31.1728762,31.02300661,31.10234934
1421159400,31.38004888,31.58281363,31.37564095,31.56958984
1421163000,31.56518191,31.59603742,31.49024712,31.51669469
1421166600,31.52991848,31.53432641,31.32715373,31.34919338
1421170200,31.34258148,31.34919338,31.16406035,31.1728762
1421173800,31.18169206,31.18169206,30.84228151,30.97451938
1421177400,30.97892731,31.0362304,30.8863608,30.94366388
1421181000,30.93925595,31.13761277,30.93925595,31.0670859
1421245800,30.63951676,30.82464979,30.60425332,30.7056357
1421249400,30.70122777,30.71885948,30.55356213,30.55797006
1421253000,30.5491542,30.67478019,30.51609473,30.52711456
1421256600,30.52711456,30.57780575,30.45217976,30.46760751
1421260200,30.46319958,30.6307009,30.35300135,30.61968107
